               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.039815,             0.16095,            0.012927,             0.74652,             0.22495,             0.21762,             0.12334,            0.051937,            0.085017,           0.0077734,            0.005215,            0.005215,            0.005215
                  60,            0.047808,             0.17587,            0.010296,             0.28037,             0.37075,              0.2917,             0.17369,            0.044898,            0.085324,           0.0076705,           0.0051325,           0.0051325,           0.0051325
                  61,             0.04165,             0.14891,            0.010715,             0.21164,             0.37585,             0.24152,             0.13677,            0.049946,            0.085524,           0.0075915,             0.00505,             0.00505,             0.00505
                  62,            0.041598,             0.17939,            0.010631,             0.26993,             0.39796,             0.29869,             0.18715,            0.043173,            0.084971,           0.0074985,           0.0049675,           0.0049675,           0.0049675
                  63,            0.039406,             0.17677,             0.01074,             0.25681,             0.39456,             0.29446,             0.16641,            0.045623,            0.087204,           0.0071005,            0.004885,            0.004885,            0.004885
                  64,            0.043415,             0.17202,            0.010911,             0.81903,             0.27891,             0.28786,              0.1659,            0.044495,            0.087434,           0.0071133,           0.0048025,           0.0048025,           0.0048025
                  65,            0.040409,             0.15436,           0.0098956,             0.29237,             0.39116,             0.31396,             0.18653,            0.043149,            0.084624,           0.0072118,             0.00472,             0.00472,             0.00472
                  66,            0.040633,              0.1656,            0.011183,             0.82476,             0.28401,              0.3034,              0.1778,            0.043822,            0.085273,           0.0072502,           0.0046375,           0.0046375,           0.0046375
                  67,            0.037246,             0.14175,            0.010989,             0.26529,             0.38776,             0.28954,              0.1618,            0.048264,            0.084293,           0.0072244,            0.004555,            0.004555,            0.004555
                  68,            0.041735,             0.14115,           0.0097651,             0.32655,             0.37925,             0.30603,             0.18931,            0.043044,            0.084613,           0.0073104,           0.0044725,           0.0044725,           0.0044725
                  69,            0.036888,             0.15981,            0.010685,             0.28548,              0.3917,             0.29133,             0.17896,            0.043753,            0.086903,            0.007194,             0.00439,             0.00439,             0.00439
